Community Lot ID,NH Task Name,Tickets Name,Created By: Full Name,Design QA Score,Design QA Date,Design QA Result
a3TUS00000B1hfr,Design QA,QA-001,Mary Genevieve Mendoza,100,8/12/2026,Pass
a3TUS00000B1DmF,Design QA,QA-001,Mary Genevieve Mendoza,100,8/28/2026,Pass
a3TUS00000B0tYQ,Design QA,QA-001,Mary Genevieve Mendoza,100,8/12/2026,Pass
a3TUS00000BB7uK,Design QA,QA-001,Mary Genevieve Mendoza,100,6/4/2026,Pass
a3TUS00000B13C3,Design QA,QA-001,Mary Genevieve Mendoza,98,5/26/2026,Fail
a3TUS00000B0zrk,Design QA,QA-001,Mary Genevieve Mendoza,100,5/26/2026,Pass
a3TUS00000B1L3K,Design QA,QA-001,Mary Genevieve Mendoza,100,8/18/2026,Pass
a3TUS00000B0zLm,Design QA,QA-001,Mary Genevieve Mendoza,100,7/29/2026,Pass
a3TUS00000B1HYb,Design QA,QA-001,Mary Genevieve Mendoza,100,8/5/2026,Pass
a3TUS00000B1BOe,Design QA,QA-001,Mary Genevieve Mendoza,100,6/17/2026,Pass
a3TUS00000BB7uI,Design QA,QA-001,Mary Genevieve Mendoza,100,6/8/2026,Pass
a3TUS00000BB7uL,Design QA,QA-001,Mary Genevieve Mendoza,100,6/3/2026,Pass
a3TUS00000BB7uH,Design QA,QA-001,Mary Genevieve Mendoza,100,6/8/2026,Pass
a3TUS00000BB7uJ,Design QA,QA-001,Mary Genevieve Mendoza,100,6/4/2026,Pass
a3TUS00000B0qXX,Design QA,QA-001,Mary Genevieve Mendoza,100,6/17/2026,Pass
a3TUS00000B1Yfd,Design QA,QA-001,Mary Genevieve Mendoza,100,8/19/2026,Pass
a3TUS00000B1sum,Design QA,QA-001,Mary Genevieve Mendoza,100,5/29/2026,Pass
a3TUS00000B1HWj,Design QA,QA-001,Mary Genevieve Mendoza,100,6/15/2026,Pass
a3TUS00000B1MR8,Design QA,QA-001,Mary Genevieve Mendoza,100,6/24/2026,Pass
a3TUS00000B1ZpQ,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B10qO,Design QA,QA-001,Mary Genevieve Mendoza,100,5/26/2026,Pass
a3TUS00000B1dSE,Design QA,QA-001,Mary Genevieve Mendoza,100,8/20/2026,Pass
a3TUS00000B1oe7,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000B1ZEl,Design QA,QA-001,Mary Genevieve Mendoza,100,6/15/2026,Pass
a3TUS00000B1b6p,Design QA,QA-001,Mary Genevieve Mendoza,100,7/21/2026,Pass
a3TUS00000B1r7n,Design QA,QA-001,Mary Genevieve Mendoza,100,8/20/2026,Pass
a3TUS00000B1IDq,Design QA,QA-001,Mary Genevieve Mendoza,100,6/17/2026,Pass
a3TUS00000B1GEF,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B0tMo,Design QA,QA-001,Mary Genevieve Mendoza,100,8/19/2026,Pass
a3TUS00000BB8C5,Design QA,QA-001,Mary Genevieve Mendoza,100,6/8/2026,Pass
a3TUS00000B1aux,Design QA,QA-001,Mary Genevieve Mendoza,100,6/17/2026,Pass
a3TUS00000B1c49,Design QA,QA-001,Mary Genevieve Mendoza,100,8/28/2026,Pass
a3TUS00000B1Wtm,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B1gE8,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000B1ZSo,Design QA,QA-001,Mary Genevieve Mendoza,100,8/14/2026,Pass
a3TUS00000B10sZ,Design QA,QA-001,Mary Genevieve Mendoza,100,6/17/2026,Pass
a3TUS00000B1KND,Design QA,QA-001,Mary Genevieve Mendoza,100,5/29/2026,Pass
a3TiL0000006Vh5,Design QA,QA-001,Mary Genevieve Mendoza,100,9/16/2026,Pass
a3TUS00000B0uTn,Design QA,QA-001,Mary Genevieve Mendoza,100,6/15/2026,Pass
a3TUS00000B0xvg,Design QA,QA-001,Mary Genevieve Mendoza,100,9/2/2026,Pass
a3TUS00000B0vZZ,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TiL0000000BwL,Design QA,QA-001,Mary Genevieve Mendoza,100,9/4/2026,Pass
a3TUS00000B1FSc,Design QA,QA-001,Mary Genevieve Mendoza,100,6/24/2026,Pass
a3TUS00000B0pyl,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000B0nag,Design QA,QA-001,Mary Genevieve Mendoza,100,7/2/2026,Pass
a3TUS00000BB8C2,Design QA,QA-001,Mary Genevieve Mendoza,100,6/4/2026,Pass
a3TUS00000B1gRu,Design QA,QA-001,Mary Genevieve Mendoza,100,8/18/2026,Pass
a3TiL0000000Bxx,Design QA,QA-001,Mary Genevieve Mendoza,100,9/4/2026,Pass
a3TUS00000BB8C1,Design QA,QA-001,Mary Genevieve Mendoza,98,6/4/2026,Fail
a3TUS00000BB8C3,Design QA,QA-001,Mary Genevieve Mendoza,100,6/10/2026,Pass
a3TUS00000B1cut,Design QA,QA-001,Mary Genevieve Mendoza,99,8/3/2026,Pass
a3TUS00000BB8C4,Design QA,QA-001,Mary Genevieve Mendoza,100,6/10/2026,Pass
a3TUS00000B13gg,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B0sYQ,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TiL0000000Bxy,Design QA,QA-001,Mary Genevieve Mendoza,98,9/4/2026,Fail
a3TUS00000B1e4S,Design QA,QA-001,Mary Genevieve Mendoza,100,6/4/2026,Pass
a3TUS00000B11Sj,Design QA,QA-001,Mary Genevieve Mendoza,100,8/11/2026,Pass
a3TUS00000B1EMH,Design QA,QA-001,Mary Genevieve Mendoza,100,9/16/2026,Pass
a3TUS00000B1JpY,Design QA,QA-001,Mary Genevieve Mendoza,100,8/19/2026,Pass
a3TUS00000B1Yyz,Design QA,QA-001,Mary Genevieve Mendoza,100,8/11/2026,Pass
a3TUS00000B1Qbf,Design QA,QA-001,Mary Genevieve Mendoza,100,8/24/2026,Pass
a3TUS00000B1K9g,Design QA,QA-001,Mary Genevieve Mendoza,100,6/2/2026,Pass
a3TUS00000B1opO,Design QA,QA-001,Mary Genevieve Mendoza,100,9/1/2026,Pass
a3TUS00000B1VTG,Design QA,QA-001,Mary Genevieve Mendoza,100,6/4/2026,Pass
a3TUS00000BIXbw,Design QA,QA-001,Mary Genevieve Mendoza,100,6/11/2026,Pass
a3TUS00000BIXbu,Design QA,QA-001,Mary Genevieve Mendoza,100,6/11/2026,Pass
a3TUS00000B0slH,Design QA,QA-001,Mary Genevieve Mendoza,100,7/30/2026,Pass
a3TUS00000B1et0,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000BIXbv,Design QA,QA-001,Mary Genevieve Mendoza,100,6/11/2026,Pass
a3TUS00000B1fjz,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B3MQi,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
